,cik,company_name,form_type,filing_date,accession,ticker
34849,68622,QWEST CORP,10-K,2018-03-12,0000068622-18-000004,ctz
34851,6879,APPALACHIAN POWER CO,10-K,2018-02-23,0000004904-18-000009,
34853,69488,MYERS INDUSTRIES INC,10-K,2018-03-09,0001564590-18-005141,mye
34859,700564,FULTON FINANCIAL CORP,10-K,2018-03-01,0000700564-18-000010,fultp
34860,700565,FIRST MID ILLINOIS BANCSHARES INC,10-K,2018-03-02,0000700565-18-000032,fmbh
34861,700764,VICTORY ENERGY CORP,10-K,2018-03-29,0001628280-18-003845,vyey
34862,700841,RCM TECHNOLOGIES INC,10-K,2018-03-08,0000700841-18-000006,rcmt
34863,700923,MYR GROUP INC.,10-K,2018-03-07,0001144204-18-013353,myrg
34864,701221,CIGNA CORP,10-K,2018-02-28,0001047469-18-001158,
34865,701288,ATRION CORP,10-K,2018-02-27,0001654954-18-001936,atri
34866,701347,CENTRAL PACIFIC FINANCIAL CORP,10-K,2018-02-28,0000701347-18-000013,cpf
34867,701374,Six Flags Entertainment Corp,10-K,2018-02-20,0000701374-18-000051,six
34869,701719,DGSE COMPANIES INC,10-K,2018-03-21,0001144204-18-016004,ela
34870,701869,INDEPENDENCE HOLDING CO,10-K,2018-03-26,0000701869-18-000019,ihc
34871,701985,"L Brands, Inc.",10-K,2018-03-23,0000701985-18-000018,lb
34872,702165,NORFOLK SOUTHERN CORP,10-K,2018-02-05,0000702165-18-000011,nsc
34873,702325,FIRST MIDWEST BANCORP INC,10-K,2018-02-28,0000702325-18-000012,fmbip
34874,702513,Bank of Commerce Holdings,10-K,2018-03-09,0001437749-18-004277,boch
34875,70318,TENET HEALTHCARE CORP,10-K,2018-02-26,0000070318-18-000011,thc
34878,703604,LAWSON PRODUCTS INC/NEW/DE/,10-K,2018-02-22,0000703604-18-000013,laws
34879,7039,TRECORA RESOURCES,10-K,2018-03-12,0000007039-18-000003,trec
34881,70415,GP STRATEGIES CORP,10-K,2018-03-01,0000070415-18-000033,gpx
34883,704415,"TIVITY HEALTH, INC.",10-K,2018-02-28,0000704415-18-000006,tvty
34884,704532,NANOMETRICS INC,10-K,2018-02-26,0001564590-18-003134,onto
34886,70487,NATIONAL RESEARCH CORP,10-K,2018-03-14,0001437749-18-004585,nrc
34888,705432,SOUTHSIDE BANCSHARES INC,10-K,2018-02-28,0000705432-18-000028,sbsi
34889,706129,HORIZON BANCORP /IN/,10-K,2018-02-28,0001193125-18-063446,hbnc
34890,706688,AARON'S INC,10-K,2018-03-01,0000706688-18-000032,
34891,706698,UTAH MEDICAL PRODUCTS INC,10-K,2018-03-06,0001096906-18-000127,utmd
34892,706863,UNION BANKSHARES INC,10-K,2018-03-16,0000706863-18-000012,unb
34893,707179,OLD NATIONAL BANCORP /IN/,10-K,2018-02-15,0001193125-18-046746,onb
34894,707388,DIGIRAD CORP,10-K,2018-02-28,0000707388-18-000008,strrp
34895,707511,REGENERX BIOPHARMACEUTICALS INC,10-K,2018-03-29,0001144204-18-017995,rgrx
34897,707605,AMERISERV FINANCIAL INC /PA/,10-K,2018-03-02,0001144204-18-012402,asrvp
34898,707886,UNITED COMMUNITY FINANCIAL CORP,10-K,2018-03-14,0001564590-18-005628,
34899,7084,ARCHER DANIELS MIDLAND CO,10-K,2018-02-16,0000007084-18-000012,adm
34900,70858,BANK OF AMERICA CORP /DE/,10-K,2018-02-22,0000070858-18-000009,mer-pk
34901,70866,NCR CORP,10-K,2018-02-26,0000070866-18-000010,ncrrp
34902,708781,CASS INFORMATION SYSTEMS INC,10-K,2018-02-28,0001206774-18-000614,cass
34904,708819,MCDERMOTT INTERNATIONAL INC,10-K,2018-02-21,0001564590-18-002549,
34905,708821,PAR TECHNOLOGY CORP,10-K,2018-03-16,0000708821-18-000010,par
34906,708955,FIRST FINANCIAL BANCORP /OH/,10-K,2018-02-26,0000708955-18-000037,ffbc
34907,709005,NOBLE ROMANS INC,10-K,2018-03-29,0001654954-18-003373,nrom
34908,709337,FARMERS NATIONAL BANC CORP /OH/,10-K,2018-03-06,0001564590-18-004502,fmnb
34909,710752,SABINE ROYALTY TRUST,10-K,2018-03-08,0001193125-18-075015,sbr
34911,711034,THUNDER MOUNTAIN GOLD INC,10-K,2018-03-30,0001052918-18-000090,thmg
34915,711477,KIEWIT ROYALTY TRUST,10-K,2018-03-30,0001104659-18-021464,kiry
34916,711669,COLONY BANKCORP INC,10-K,2018-03-15,0001437749-18-004708,cban
34917,711772,CAMBRIDGE BANCORP,10-K,2018-03-21,0001564590-18-006388,catc
34918,71180,NEVADA POWER CO,10-K,2018-02-26,0001081316-18-000014,
34919,712034,ACCO BRANDS Corp,10-K,2018-02-28,0000712034-18-000013,acco
34921,712534,FIRST MERCHANTS CORP,10-K,2018-03-01,0000712534-18-000065,frme
34922,712537,FIRST COMMONWEALTH FINANCIAL CORP /PA/,10-K,2018-03-01,0000712537-18-000012,fcf
34923,712770,ONE LIBERTY PROPERTIES INC,10-K,2018-03-14,0001047469-18-001632,olp
34924,712771,"ConnectOne Bancorp, Inc.",10-K,2018-03-06,0001206774-18-000703,cnob
34925,713095,FARMERS CAPITAL BANK CORP,10-K,2018-03-12,0001437749-18-004397,ffkt
34927,713671,DNB FINANCIAL CORP /PA/,10-K,2018-03-15,0000713671-18-000038,
34928,713676,"PNC FINANCIAL SERVICES GROUP, INC.",10-K,2018-02-28,0000713676-18-000032,pnc-pp
34929,714256,"WOUND MANAGEMENT TECHNOLOGIES, INC.",10-K,2018-03-29,0001654954-18-003385,smti
34930,714310,VALLEY NATIONAL BANCORP,10-K,2018-03-01,0000714310-18-000104,vlypo
34931,714395,"GERMAN AMERICAN BANCORP, INC.",10-K,2018-03-01,0000714395-18-000009,gabc
34932,714562,FIRST FINANCIAL CORP /IN/,10-K,2018-03-07,0000714562-18-000028,thff
34933,714603,DST SYSTEMS INC,10-K,2018-02-28,0000714603-18-000013,
34934,714712,JUNIATA VALLEY FINANCIAL CORP,10-K,2018-03-16,0001144204-18-015200,juvf
34935,715072,RENASANT CORP,10-K,2018-02-28,0000715072-18-000070,rnst
34936,71508,"ENTERGY NEW ORLEANS, LLC",10-K,2018-02-26,0000065984-18-000072,eno
34937,715446,ITUS Corp,10-K,2018-01-09,0001513162-18-000006,anix
34939,715579,ACNB CORP,10-K,2018-03-09,0001047469-18-001446,acnb
34940,71557,NEW ULM TELECOM INC,10-K,2018-03-15,0001513162-18-000066,nuvr
34941,715787,INTERFACE INC,10-K,2018-03-01,0001437749-18-003647,tile
34942,715788,"EVIO, INC.",10-K,2018-01-17,0001477932-18-000271,evio
34945,715957,DOMINION ENERGY INC /VA/,10-K,2018-02-27,0001193125-18-059578,drua
34946,716006,YRC Worldwide Inc.,10-K,2018-02-15,0000716006-18-000004,yell
34947,716133,CINCINNATI BELL INC,10-K,2018-02-26,0000716133-18-000008,cbb-pb
34949,716605,PENNS WOODS BANCORP INC,10-K,2018-03-13,0000716605-18-000004,pwod
34950,716634,READING INTERNATIONAL INC,10-K,2018-03-16,0000716634-18-000006,rdib
34953,71691,NEW YORK TIMES CO,10-K,2018-02-27,0000071691-18-000004,nyt
34954,717423,MURPHY OIL CORP /DE,10-K,2018-02-26,0000717423-18-000011,mur
34955,717538,ARROW FINANCIAL CORP,10-K,2018-03-12,0000717538-18-000060,arow
34956,717605,HEXCEL CORP /DE/,10-K,2018-02-07,0001564590-18-001551,hxl
34958,717806,FIRST US BANCSHARES INC,10-K,2018-03-15,0001437749-18-004716,fusb
34960,71829,NEWPARK RESOURCES INC,10-K,2018-02-23,0000071829-18-000021,nr
34962,718413,COMMUNITY BANCORP /VT,10-K,2018-03-15,0001654954-18-002573,cmtv
34963,718877,"Activision Blizzard, Inc.",10-K,2018-02-27,0001047469-18-001114,atvi
34964,718937,STAAR SURGICAL CO,10-K,2018-02-28,0001144204-18-011838,staa
34965,719135,BOVIE MEDICAL Corp,10-K,2018-03-13,0000719135-18-000015,apyx
34966,719209,ISRAMCO INC,10-K,2018-03-13,0001185185-18-000404,
34967,719220,S&T BANCORP INC,10-K,2018-03-01,0000719220-18-000018,stba
34969,719402,FIRST NATIONAL CORP /VA/,10-K,2018-03-23,0000719402-18-000007,fxnc
34970,719413,HECLA MINING CO/DE/,10-K,2018-02-15,0001437749-18-002671,hl-pb
34972,719739,SVB FINANCIAL GROUP,10-K,2018-02-28,0000719739-18-000011,sivbp
34973,719955,WILLIAMS SONOMA INC,10-K,2018-03-29,0001193125-18-102232,wsm
34974,720002,MAINSOURCE FINANCIAL GROUP,10-K,2018-02-28,0001558370-18-001289,
34978,720672,STIFEL FINANCIAL CORP,10-K,2018-02-26,0001564590-18-003065,sf-pc
34980,720858,INVESTORS TITLE CO,10-K,2018-03-12,0000720858-18-000006,itic
34983,721447,CCA INDUSTRIES INC,10-K,2018-02-28,0000721447-18-000006,caww
34984,72162,NL INDUSTRIES INC,10-K,2018-03-12,0001564590-18-005298,nl
34985,721683,TOTAL SYSTEM SERVICES INC,10-K,2018-02-23,0001558370-18-001043,
34986,721994,LAKELAND FINANCIAL CORP,10-K,2018-03-01,0000721994-18-000014,lkfn
34987,72205,NOBILITY HOMES INC,10-K,2018-01-26,0001193125-18-020970,nobh
34989,72207,NOBLE ENERGY INC,10-K,2018-02-20,0000072207-18-000020,
34990,722313,NORTECH SYSTEMS INC,10-K,2018-03-27,0001104659-18-020483,nsys
34992,722723,"HANGER, INC.",10-K,2018-01-19,0001104659-18-003089,hngr
34995,723188,"COMMUNITY BANK SYSTEM, INC.",10-K,2018-03-01,0001140361-18-011107,cbu
34998,72333,NORDSTROM INC,10-K,2018-03-19,0000072333-18-000049,jwn
35000,723533,Longwen Group Corp.,10-K,2018-03-30,0001551163-18-000036,lwlw
35002,723612,"AVIS BUDGET GROUP, INC.",10-K,2018-02-22,0000723612-18-000024,car
35003,723646,FRANKLIN FINANCIAL SERVICES CORP /PA/,10-K,2018-03-12,0000723646-18-000012,fraf
35007,724742,Trinity Place Holdings Inc.,10-K,2018-03-15,0001144204-18-014956,tphs
35010,72573,MOVADO GROUP INC,10-K,2018-03-29,0001564590-18-007083,mov
35012,726513,TRIBUNE MEDIA CO,10-K,2018-03-01,0000726513-18-000007,
35014,726516,FIRST EQUITY PROPERTIES INC,10-K,2018-03-29,0001010549-18-000088,fepi
35015,726601,CAPITAL CITY BANK GROUP INC,10-K,2018-03-05,0000726601-18-000008,ccbg
35016,726728,REALTY INCOME CORP,10-K,2018-02-22,0001104659-18-011376,o
35017,726854,CITY HOLDING CO,10-K,2018-02-28,0000726854-18-000010,chco
35018,726865,LINCOLN NATIONAL LIFE INSURANCE CO /IN/,10-K,2018-03-13,0000726865-18-000173,
35020,727207,"Accelerate Diagnostics, Inc",10-K,2018-03-01,0001628280-18-002558,axdx
35021,727273,CADIZ INC,10-K,2018-03-14,0000727273-18-000003,cdzi
35022,72741,EVERSOURCE ENERGY,10-K,2018-02-26,0000072741-18-000028,es
35023,727510,"ENZON PHARMACEUTICALS, INC.",10-K,2018-03-21,0001144204-18-016199,enzn
35024,727538,APACHE OFFSHORE INVESTMENT PARTNERSHIP,10-K,2018-02-23,0001673379-18-000009,
35025,727892,RIVERSOURCE LIFE INSURANCE CO,10-K,2018-02-22,0000820027-18-000005,
35027,728391,"IPALCO ENTERPRISES, INC.",10-K,2018-02-27,0000728391-18-000013,
35028,728535,HUNT J B TRANSPORT SERVICES INC,10-K,2018-02-23,0001437749-18-003239,jbht
35029,7286,ARIZONA PUBLIC SERVICE CO,10-K,2018-02-23,0000764622-18-000018,
35030,72903,XCEL ENERGY INC,10-K,2018-02-23,0000072903-18-000009,xel
35031,72909,NORTHERN STATES POWER CO /WI/,10-K,2018-02-26,0000072909-18-000003,
35032,729580,BEL FUSE INC /NJ,10-K,2018-03-09,0000729580-18-000006,belfb
35033,72971,WELLS FARGO & COMPANY/MN,10-K,2018-03-01,0000072971-18-000272,wfc-pa
35034,729986,UNITED BANKSHARES INC/WV,10-K,2018-03-01,0001193125-18-066863,ubsi
35035,73020,NORTHWEST NATURAL GAS CO,10-K,2018-02-23,0000073020-18-000008,
35037,730272,REPLIGEN CORP,10-K,2018-02-22,0001193125-18-054262,rgen
35038,730349,TOFUTTI BRANDS INC,10-K,2018-03-29,0001493152-18-004145,tofb
35041,730708,SEACOAST BANKING CORP OF FLORIDA,10-K,2018-02-28,0001144204-18-011744,sbcf
35042,73088,NORTHWESTERN CORP,10-K,2018-02-13,0000073088-18-000022,nwe
35043,731012,HEALTHCARE SERVICES GROUP INC,10-K,2018-02-23,0000731012-18-000032,hcsg
35044,73124,NORTHERN TRUST CORP,10-K,2018-02-27,0000073124-18-000141,ntrso
35045,731288,PACCAR FINANCIAL CORP,10-K,2018-02-21,0001564590-18-002687,
35046,731653,UNITED BANCORP INC /OH/,10-K,2018-03-20,0001144204-18-015768,ubcp
35047,731766,UNITEDHEALTH GROUP INC,10-K,2018-02-13,0000731766-18-000005,unh
35050,7323,ENTERGY ARKANSAS INC,10-K,2018-02-26,0000065984-18-000072,eai
35051,732417,HILLS BANCORPORATION,10-K,2018-03-05,0000732417-18-000014,hbia
35052,732712,VERIZON COMMUNICATIONS INC,10-K,2018-02-23,0000732712-18-000009,vz
35053,732717,AT&T INC.,10-K,2018-02-20,0000732717-18-000009,t-pc
35054,732834,"CONTINENTAL RESOURCES, INC",10-K,2018-02-21,0000732834-18-000003,clr
35056,733076,BRIGHTHOUSE LIFE INSURANCE Co,10-K,2018-03-22,0000733076-18-000004,
35057,73309,NUCOR CORP,10-K,2018-02-28,0001193125-18-064018,nue
35059,7332,SOUTHWESTERN ENERGY CO,10-K,2018-03-01,0000007332-18-000016,swn
35060,733337,"PwrCor, Inc.",10-K,2018-03-30,0001393905-18-000119,pwco
35061,736012,INTRUSION INC,10-K,2018-03-29,0001437749-18-005827,intz
35062,736772,CNB FINANCIAL CORP/PA,10-K,2018-03-08,0001193125-18-075125,ccnep
35063,737468,WASHINGTON TRUST BANCORP INC,10-K,2018-02-27,0000737468-18-000017,wash
35064,73756,OCEANEERING INTERNATIONAL INC,10-K,2018-03-01,0000073756-18-000013,oii
35066,737875,FIRST KEYSTONE CORP,10-K,2018-03-16,0001144204-18-015339,fkys
35067,738214,"AEMETIS, INC",10-K,2018-03-29,0001654954-18-003317,amtx
35069,739421,CITIZENS FINANCIAL SERVICES INC,10-K,2018-03-08,0000739421-18-000016,czfs
35070,73960,OHIO EDISON CO,10-K,2018-03-30,0001578443-18-000005,
35071,73986,OHIO POWER CO,10-K,2018-02-23,0000004904-18-000009,
35072,740260,VENTAS INC,10-K,2018-02-09,0000740260-18-000054,vtr
35074,740663,FIRST OF LONG ISLAND CORP,10-K,2018-03-16,0000740663-18-000011,flic
35075,740664,R F INDUSTRIES LTD,10-K,2018-01-24,0001144204-18-003386,rfil
35077,740806,F&M BANK CORP,10-K,2018-03-16,0001654954-18-002674,fmbm
35078,740971,OLD POINT FINANCIAL CORP,10-K,2018-03-16,0001140361-18-013705,opof
35079,74145,OKLAHOMA GAS & ELECTRIC CO,10-K,2018-02-22,0000074145-18-000004,
35080,741516,AMERICAN NATIONAL BANKSHARES INC.,10-K,2018-03-09,0000741516-18-000012,amnb
35081,74208,"UDR, Inc.",10-K,2018-02-20,0000074208-18-000024,udr
35082,742112,INVACARE CORP,10-K,2018-03-09,0000742112-18-000023,ivc
35083,742126,"US ECOLOGY, INC.",10-K,2018-02-26,0001558370-18-001087,
35084,742278,RPC INC,10-K,2018-02-28,0001144204-18-011709,res
35085,74260,OLD REPUBLIC INTERNATIONAL CORP,10-K,2018-02-28,0000074260-18-000012,ori
35086,74303,OLIN CORP,10-K,2018-02-26,0000074303-18-000007,oln
35087,7431,ARMSTRONG WORLD INDUSTRIES INC,10-K,2018-02-26,0001564590-18-003128,awi
35088,743238,SPARTAN MOTORS INC,10-K,2018-03-01,0001437749-18-003606,shyf
35090,743367,BAR HARBOR BANKSHARES,10-K,2018-03-13,0000743367-18-000047,bhb
35092,744187,REX AMERICAN RESOURCES Corp,10-K,2018-03-29,0000930413-18-001149,rex
35093,744218,"Celldex Therapeutics, Inc.",10-K,2018-03-07,0001047469-18-001363,cldx
35095,744455,GREAT WEST LIFE & ANNUITY INSURANCE CO,10-K,2018-02-28,0000744455-18-000003,
35096,744825,AMERICAN SHARED HOSPITAL SERVICES,10-K,2018-03-28,0001144204-18-017461,ams
35097,745308,ST JOE CO,10-K,2018-03-01,0000745308-18-000004,joe
35098,745981,MIDSOUTH BANCORP INC,10-K,2018-03-16,0000745981-18-000058,
35099,746210,"GLOWPOINT, INC.",10-K,2018-03-07,0000746210-18-000012,oblg
35100,746514,NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,10-K,2018-03-13,0001558370-18-001971,nen
35101,746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,10-K,2018-02-23,0000746515-18-000004,expd
35103,746838,UNISYS CORP,10-K,2018-03-12,0000746838-18-000009,uis
35104,747159,JMB 245 PARK AVENUE ASSOCIATES LTD,10-K,2018-02-26,0000892626-18-000040,
35105,747540,SURGE COMPONENTS INC,10-K,2018-02-28,0001213900-18-002400,sprs
35106,748592,NTN BUZZTIME INC,10-K,2018-03-09,0001493152-18-003164,btx
35108,749251,GARTNER INC,10-K,2018-02-22,0000749251-18-000004,it
35109,749647,Celsion CORP,10-K,2018-03-27,0001437749-18-005539,clsn
35110,749660,ICAD INC,10-K,2018-03-30,0001193125-18-103266,icad
35111,750004,SCIENTIFIC GAMES CORP,10-K,2018-03-01,0000750004-18-000011,sgms
35112,750556,SUNTRUST BANKS INC,10-K,2018-02-23,0000750556-18-000079,
35113,750558,QNB CORP,10-K,2018-03-16,0001564590-18-006028,qnbc
35114,750574,"AUBURN NATIONAL BANCORPORATION, INC",10-K,2018-03-13,0001193125-18-080325,aubn
35115,750577,HANCOCK HOLDING CO,10-K,2018-02-27,0000750577-18-000009,hwcpz
35116,750686,CAMDEN NATIONAL CORP,10-K,2018-03-09,0000750686-18-000057,cac
35117,750813,SEITEL INC,10-K,2018-02-16,0000750813-18-000006,
35118,751364,"NATIONAL RETAIL PROPERTIES, INC.",10-K,2018-02-13,0000751364-18-000024,nnn-pf
35119,751978,VICOR CORP,10-K,2018-03-09,0001193125-18-077391,vicr
35120,75208,OVERSEAS SHIPHOLDING GROUP INC,10-K,2018-03-12,0000075208-18-000021,ogsrw
35121,752294,ELECTRONIC SYSTEMS TECHNOLOGY INC,10-K,2018-02-23,0001052918-18-000046,elst
35122,75252,OWENS & MINOR INC/VA/,10-K,2018-02-23,0000075252-18-000042,omi
35123,752642,"UMH PROPERTIES, INC.",10-K,2018-03-08,0001493152-18-003093,umh-pc
35124,752714,MCGRATH RENTCORP,10-K,2018-02-27,0001564590-18-003494,mgrc
35125,753308,NEXTERA ENERGY INC,10-K,2018-02-16,0000753308-18-000013,nee-pq
35126,75340,P&F INDUSTRIES INC,10-K,2018-03-29,0001144204-18-017894,pfin
35127,75362,PACCAR INC,10-K,2018-02-21,0001564590-18-002675,pcar
35128,7536,ARROW ELECTRONICS INC,10-K,2018-02-06,0001666359-18-000002,arw
35129,753772,MEDIZONE INTERNATIONAL INC,10-K,2018-03-20,0001185185-18-000468,
35130,754737,SCANA CORP,10-K,2018-02-23,0000754737-18-000115,
35132,75488,PACIFIC GAS & ELECTRIC Co,10-K,2018-02-09,0001004980-18-000003,
35133,755001,UNITIL CORP,10-K,2018-02-01,0001193125-18-028247,utl
35134,75594,PACIFICORP /OR/,10-K,2018-02-26,0001081316-18-000014,ppwlo
35135,75677,PACKAGING CORP OF AMERICA,10-K,2018-02-28,0001564590-18-003690,pkg
35136,75679,GCI INC,10-K,2018-02-28,0000075679-18-000008,
35137,757011,USG CORP,10-K,2018-02-14,0000757011-18-000014,usg
35139,758938,QUALSTAR CORP,10-K,2018-03-16,0001437749-18-004815,qbak
35140,759944,CITIZENS FINANCIAL GROUP INC/RI,10-K,2018-02-22,0000759944-18-000016,cfg-pe
35141,760498,BANCFIRST CORP /OK/,10-K,2018-03-01,0001564590-18-004014,banfp
35142,76063,PANHANDLE EASTERN PIPE LINE CO LP,10-K,2018-02-23,0000076063-18-000005,
35143,761648,"CEDAR REALTY TRUST, INC.",10-K,2018-02-12,0001564590-18-001854,cdr-pb
35144,7623,ARTS WAY MANUFACTURING CO INC,10-K,2018-02-07,0001437749-18-001906,artw
35146,76282,PARK OHIO HOLDINGS CORP,10-K,2018-03-08,0000076282-18-000013,pkoh
35147,76321,PARKER DRILLING CO /DE/,10-K,2018-02-21,0000076321-18-000020,pkdcw
35150,763563,CHEMUNG FINANCIAL CORP,10-K,2018-03-08,0000763563-18-000053,chmg
35151,763744,LCI INDUSTRIES,10-K,2018-02-28,0000763744-18-000042,lcii
35152,763901,POPULAR INC,10-K,2018-03-01,0001193125-18-066922,bpopn
35153,763907,FIRST UNITED CORP/MD/,10-K,2018-03-09,0001144204-18-013891,func
35154,764038,SOUTH STATE Corp,10-K,2018-02-23,0001558370-18-001012,ssb
35155,764065,CLEVELAND-CLIFFS INC.,10-K,2018-02-14,0000764065-18-000035,clf
35156,764180,"ALTRIA GROUP, INC.",10-K,2018-02-27,0000764180-18-000028,mo
35157,764195,VBI Vaccines Inc/BC,10-K,2018-02-26,0001493152-18-002611,vbiv
35159,764579,CAS MEDICAL SYSTEMS INC,10-K,2018-03-26,0001072613-18-000240,casm
35160,764622,PINNACLE WEST CAPITAL CORP,10-K,2018-02-23,0000764622-18-000018,pnw
35163,764764,CATERPILLAR FINANCIAL SERVICES CORP,10-K,2018-02-15,0000764764-18-000016,
35164,765207,"First Bancorp, Inc /ME/",10-K,2018-03-14,0000765207-18-000008,fnlc
35165,765880,"HCP, INC.",10-K,2018-02-13,0001628280-18-001552,peak
35166,76605,PATRICK INDUSTRIES INC,10-K,2018-02-28,0000076605-18-000045,patk
35167,766421,"ALASKA AIR GROUP, INC.",10-K,2018-02-15,0000766421-18-000015,alk
35168,766701,CAPSTEAD MORTGAGE CORP,10-K,2018-02-20,0001564590-18-002464,cmo-pe
35169,766704,WELLTOWER INC.,10-K,2018-02-28,0000766704-18-000012,well
35170,766829,SJW GROUP,10-K,2018-02-27,0000766829-18-000058,sjw
35171,767405,"SB FINANCIAL GROUP, INC.",10-K,2018-03-09,0001213900-18-002757,sbfg
35173,768411,CYBEROPTICS CORP,10-K,2018-03-09,0000897101-18-000213,cybe
35174,768710,RELIV INTERNATIONAL INC,10-K,2018-03-29,0001437749-18-005793,relv
35175,768899,"TrueBlue, Inc.",10-K,2018-02-26,0000768899-18-000006,tbi
35176,769397,AUTODESK INC,10-K,2018-03-22,0000769397-18-000011,adsk
35177,769520,MIDDLEBY CORP,10-K,2018-02-28,0000769520-18-000003,midd
35178,770460,PEOPLES FINANCIAL CORP /MS/,10-K,2018-03-14,0001193125-18-081738,pfbx
35179,771266,KOPIN CORP,10-K,2018-03-23,0000771266-18-000012,kopn
35181,77159,PENN VIRGINIA CORP,10-K,2018-03-02,0000077159-18-000008,pvac
35183,771999,DOCUMENT SECURITY SYSTEMS INC,10-K,2018-03-06,0001493152-18-002948,dss
35185,77281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,10-K,2018-02-16,0000077281-18-000018,pei-pc
35186,773141,MDC HOLDINGS INC,10-K,2018-02-01,0001437749-18-001473,mdc
35188,77360,PENTAIR plc,10-K,2018-02-27,0000077360-18-000007,pnr
35191,773840,HONEYWELL INTERNATIONAL INC,10-K,2018-02-09,0000930413-18-000292,hon
35192,773910,ANADARKO PETROLEUM CORP,10-K,2018-02-15,0000773910-18-000012,
35193,774569,CORTLAND BANCORP INC,10-K,2018-03-22,0001564590-18-006552,cldb
35194,77476,PEPSICO INC,10-K,2018-02-13,0000077476-18-000012,pep
35197,775368,ALLEGHANY CORP /DE,10-K,2018-02-21,0001193125-18-052080,y
35198,77543,TUTOR PERINI CORP,10-K,2018-02-27,0000077543-18-000016,tpc
35199,776867,WHITE MOUNTAINS INSURANCE GROUP LTD,10-K,2018-02-28,0000776867-18-000002,wtm
35200,776901,INDEPENDENT BANK CORP,10-K,2018-02-27,0000776901-18-000068,indb
35201,77776,PHH CORP,10-K,2018-03-01,0000077776-18-000005,
35202,777917,PRUCO LIFE INSURANCE CO,10-K,2018-03-08,0000777917-18-000020,
35203,778164,"Pacific Ethanol, Inc.",10-K,2018-03-15,0001615774-18-001920,alto
35204,77877,"PDC ENERGY, INC.",10-K,2018-02-27,0000077877-18-000008,pdce
35205,778946,BLUEGREEN VACATIONS CORP,10-K,2018-03-07,0000778946-18-000017,bxg
35206,7789,ASSOCIATED BANC-CORP,10-K,2018-02-06,0000007789-18-000013,asb-pf
35209,78003,PFIZER INC,10-K,2018-02-22,0000078003-18-000027,pfe
35210,780571,ITRON INC /WA/,10-K,2018-03-01,0000780571-18-000013,itri
35211,78100,PECO ENERGY CO,10-K,2018-02-09,0001628280-18-001324,
35212,78128,AQUA AMERICA INC,10-K,2018-02-28,0000078128-18-000003,wtru
35213,781902,INTERNATIONAL BALER CORP,10-K,2018-01-26,0001607062-18-000036,ibal
35215,78239,PVH CORP. /DE/,10-K,2018-03-30,0000078239-18-000007,pvh
35217,783280,DUKE REALTY CORP,10-K,2018-02-16,0000783280-18-000012,dre
35218,783324,VISTA GOLD CORP,10-K,2018-03-06,0000783324-18-000007,vgz
35219,783325,"WEC ENERGY GROUP, INC.",10-K,2018-02-28,0000107815-18-000134,wec
35221,784011,POPE RESOURCES LTD PARTNERSHIP,10-K,2018-03-02,0000784011-18-000039,
35222,784199,CRYOLIFE INC,10-K,2018-03-09,0001193125-18-077586,cry
35224,78460,PIEDMONT NATURAL GAS CO INC,10-K,2018-02-21,0001326160-18-000034,
35225,784977,PORTLAND GENERAL ELECTRIC CO /OR/,10-K,2018-02-16,0000784977-18-000005,por
35226,785161,Encompass Health Corp,10-K,2018-02-28,0000785161-18-000012,ehc
35230,787250,DPL INC,10-K,2018-02-27,0000787250-18-000008,
35233,78814,PITNEY BOWES INC /DE/,10-K,2018-02-22,0000078814-18-000004,pbi-pb
35235,788784,PUBLIC SERVICE ENTERPRISE GROUP INC,10-K,2018-02-26,0000788784-18-000004,peg
35236,788816,OGLETHORPE POWER CORP,10-K,2018-03-29,0001047469-18-002324,
35237,78890,BRINKS CO,10-K,2018-03-01,0000078890-18-000009,bco
35239,788965,HALLADOR ENERGY CO,10-K,2018-03-13,0001144204-18-014211,hnrg
35241,789460,WORLD FUEL SERVICES CORP,10-K,2018-02-28,0001628280-18-002457,int
35242,789570,MGM Resorts International,10-K,2018-03-01,0001564590-18-003942,mgm
35243,789933,NACCO INDUSTRIES INC,10-K,2018-03-07,0000789933-18-000019,nc
35244,790051,CARLISLE COMPANIES INC,10-K,2018-02-16,0000790051-18-000095,csl
35245,790179,PRESTIGE CAPITAL CORP,10-K,2018-03-30,0001554795-18-000065,pgec
35246,790359,NBT BANCORP INC,10-K,2018-03-01,0001140361-18-011238,nbtb
35247,790526,"RadNet, Inc.",10-K,2018-03-19,0001683168-18-000705,rdnt
35248,790703,TECH DATA CORP,10-K,2018-03-22,0000790703-18-000011,
35249,790816,BRANDYWINE REALTY TRUST,10-K,2018-02-23,0001564590-18-003023,bdn
35250,790877,LEPERCQ CORPORATE INCOME FUND L P,10-K,2018-02-27,0001444838-18-000006,
35251,791908,XOMA Corp,10-K,2018-03-07,0001564590-18-004731,xomap
35252,791915,CYPRESS SEMICONDUCTOR CORP /DE/,10-K,2018-02-26,0000791915-18-000007,
35253,791963,OPPENHEIMER HOLDINGS INC,10-K,2018-03-02,0000791963-18-000005,opy
35255,792161,"ROYAL HAWAIIAN ORCHARDS, L.P.",10-K,2018-03-09,0001437749-18-004301,
